time,lng,lat
2024/5/9 18:00,123.88109,39.82943
2024/5/9 18:00,123.8811,39.82943
2024/5/9 18:00,123.8811,39.82944
2024/5/9 18:00,123.88111,39.82943
2024/5/9 18:00,123.88111,39.82943
2024/5/9 18:00,123.88111,39.82944
2024/5/9 18:00,123.88112,39.82944
2024/5/9 18:00,123.88112,39.82944
2024/5/9 18:00,123.88112,39.82944
2024/5/9 18:00,123.88112,39.82945
2024/5/9 21:00,123.88104,39.82909
2024/5/9 21:00,123.88104,39.82909
2024/5/9 21:00,123.88104,39.82909
2024/5/9 21:00,123.88104,39.82909
2024/5/9 21:00,123.88104,39.82909
2024/5/9 21:00,123.88104,39.82908
2024/5/9 21:00,123.88104,39.82908
2024/5/9 21:00,123.88104,39.82908
2024/5/9 21:00,123.88104,39.82908
2024/5/9 21:00,123.88104,39.82908
2024/5/9 22:00,123.88099,39.82905
2024/5/9 22:00,123.88098,39.82906
2024/5/9 22:00,123.88098,39.82906
2024/5/9 22:00,123.88099,39.82906
2024/5/9 22:00,123.88099,39.82906
2024/5/9 22:00,123.88099,39.82906
2024/5/9 22:00,123.88099,39.82906
2024/5/9 22:00,123.881,39.82906
2024/5/9 22:00,123.881,39.82906
2024/5/9 22:00,123.88101,39.82905
2024/5/9 22:10,123.88106,39.82909
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:10,123.88105,39.8291
2024/5/9 22:20,123.88111,39.82908
2024/5/9 22:20,123.88111,39.82909
2024/5/9 22:20,123.88109,39.82909
2024/5/9 22:20,123.88108,39.82909
2024/5/9 22:20,123.88108,39.82909
2024/5/9 22:20,123.88107,39.82909
2024/5/9 22:20,123.88106,39.82909
2024/5/9 22:20,123.88106,39.82909
2024/5/9 22:20,123.88105,39.82909
2024/5/9 22:20,123.88105,39.82909
2024/5/9 22:30,123.88103,39.82911
2024/5/9 22:30,123.88104,39.8291
2024/5/9 22:30,123.88104,39.8291
2024/5/9 22:30,123.88104,39.82909
2024/5/9 22:30,123.88104,39.8291
2024/5/9 22:30,123.88105,39.8291
2024/5/9 22:30,123.88105,39.8291
2024/5/9 22:30,123.88105,39.8291
2024/5/9 22:30,123.88105,39.8291
2024/5/9 22:30,123.88105,39.8291
2024/5/9 22:40,123.88098,39.82913
2024/5/9 22:40,123.88099,39.82912
2024/5/9 22:40,123.881,39.82911
2024/5/9 22:40,123.881,39.82911
2024/5/9 22:40,123.881,39.82911
2024/5/9 22:40,123.881,39.82911
2024/5/9 22:40,123.881,39.82911
2024/5/9 22:40,123.88101,39.82911
2024/5/9 22:40,123.88101,39.82911
2024/5/9 22:40,123.88101,39.82911
2024/5/9 22:50,123.88104,39.82911
2024/5/9 22:50,123.88105,39.8291
2024/5/9 22:50,123.88105,39.8291
2024/5/9 22:50,123.88105,39.8291
2024/5/9 22:50,123.88106,39.8291
2024/5/9 22:50,123.88106,39.8291
2024/5/9 22:50,123.88106,39.8291
2024/5/9 22:50,123.88106,39.8291
2024/5/9 22:50,123.88106,39.8291
2024/5/9 22:50,123.88106,39.8291
2024/5/9 23:00,123.88103,39.82911
2024/5/9 23:00,123.88103,39.82911
2024/5/9 23:00,123.88104,39.82911
2024/5/9 23:00,123.88104,39.82911
2024/5/9 23:00,123.88105,39.82911
2024/5/9 23:00,123.88105,39.8291
